hostname,os,environment,country,node
SPITA861,Solaris,Production,Italy,861
SPGER267,Solaris,Production,Germany,267
APESP468,AIX,Production,Spain,468
ATGER812,AIX,Testing,Germany,812
SIFRA646,Solaris,Integration,France,646
SPIRL093,Solaris,Production,Ireland,93
LSIRL903,Linux,Staging,Ireland,903
LIFRA836,Linux,Integration,France,836
SPITA353,Solaris,Production,Italy,353
LTIRL420,Linux,Testing,Ireland,420
STFRA658,Solaris,Testing,France,658
LPIRL370,Linux,Production,Ireland,370
APITA996,AIX,Production,Italy,996
ATGER374,AIX,Testing,Germany,374
SSFRA084,Solaris,Staging,France,84
LDESP204,Linux,Development,Spain,204
LSESP499,Linux,Staging,Spain,499
LTFRA577,Linux,Testing,France,577
LPIRL558,Linux,Production,Ireland,558
ATESP549,AIX,Testing,Spain,549
LTGER083,Linux,Testing,Germany,83
LPNOR131,Linux,Production,Norway,131
ATGER407,AIX,Testing,Germany,407
SIIRL227,Solaris,Integration,Ireland,227
STESP639,Solaris,Testing,Spain,639
STESP060,Solaris,Testing,Spain,60
SIIRL269,Solaris,Integration,Ireland,269
LIGER486,Linux,Integration,Germany,486
ATGER093,AIX,Testing,Germany,93
SPIRL797,Solaris,Production,Ireland,797
HPIRL729,HP-UX,Production,Ireland,729
LPIRL834,Linux,Production,Ireland,834
SIIRL092,Solaris,Integration,Ireland,92
LTGER914,Linux,Testing,Germany,914
STESP144,Solaris,Testing,Spain,144
STESP608,Solaris,Testing,Spain,608
LTIRL169,Linux,Testing,Ireland,169
SIESP881,Solaris,Integration,Spain,881
SIIRL084,Solaris,Integration,Ireland,84
SSIRL410,Solaris,Staging,Ireland,410
HPITA895,HP-UX,Production,Italy,895
LSIRL525,Linux,Staging,Ireland,525
ATIRL442,AIX,Testing,Ireland,442
AIITA808,AIX,Integration,Italy,808
APGER946,AIX,Production,Germany,946
HIESP234,HP-UX,Integration,Spain,234
LSNOR152,Linux,Staging,Norway,152
APITA962,AIX,Production,Italy,962
SSIRL465,Solaris,Staging,Ireland,465
HPITA113,HP-UX,Production,Italy,113
SDIRL400,Solaris,Development,Ireland,400
LPGER999,Linux,Production,Germany,999
SSIRL246,Solaris,Staging,Ireland,246
SSIRL462,Solaris,Staging,Ireland,462
ASITA928,AIX,Staging,Italy,928
SPIRL479,Solaris,Production,Ireland,479
APNOR560,AIX,Production,Norway,560
LPNOR483,Linux,Production,Norway,483
ASITA548,AIX,Staging,Italy,548
STNOR520,Solaris,Testing,Norway,520
APGER970,AIX,Production,Germany,970
SSIRL071,Solaris,Staging,Ireland,71
LPGER495,Linux,Production,Germany,495
LPIRL206,Linux,Production,Ireland,206
LTIRL795,Linux,Testing,Ireland,795
LTGER828,Linux,Testing,Germany,828
SPESP687,Solaris,Production,Spain,687
ADGER922,AIX,Development,Germany,922
SPIRL254,Solaris,Production,Ireland,254
ASESP798,AIX,Staging,Spain,798
LSESP683,Linux,Staging,Spain,683
ADITA991,AIX,Development,Italy,991
LIIRL288,Linux,Integration,Ireland,288
LTIRL427,Linux,Testing,Ireland,427
LPGER958,Linux,Production,Germany,958
SSGER965,Solaris,Staging,Germany,965
STGER024,Solaris,Testing,Germany,24
LSIRL596,Linux,Staging,Ireland,596
ATFRA940,AIX,Testing,France,940
SSESP665,Solaris,Staging,Spain,665
STIRL750,Solaris,Testing,Ireland,750
LTIRL712,Linux,Testing,Ireland,712
LPIRL721,Linux,Production,Ireland,721
LPGER768,Linux,Production,Germany,768
LPESP597,Linux,Production,Spain,597
LTESP459,Linux,Testing,Spain,459
SDIRL169,Solaris,Development,Ireland,169
ADFRA332,AIX,Development,France,332
SSGER666,Solaris,Staging,Germany,666
LIIRL152,Linux,Integration,Ireland,152
HTIRL857,HP-UX,Testing,Ireland,857
ATGER693,AIX,Testing,Germany,693
SIIRL313,Solaris,Integration,Ireland,313
APESP393,AIX,Production,Spain,393
LDITA064,Linux,Development,Italy,64
LPIRL317,Linux,Production,Ireland,317
LPITA754,Linux,Production,Italy,754
SIGER572,Solaris,Integration,Germany,572
STITA950,Solaris,Testing,Italy,950
HSIRL468,HP-UX,Staging,Ireland,468
LPNOR235,Linux,Production,Norway,235
ASITA168,AIX,Staging,Italy,168
SDIRL342,Solaris,Development,Ireland,342
LSIRL647,Linux,Staging,Ireland,647
LTIRL383,Linux,Testing,Ireland,383
LSGER627,Linux,Staging,Germany,627
LPGER708,Linux,Production,Germany,708
APITA134,AIX,Production,Italy,134
SPGER321,Solaris,Production,Germany,321
SPGER024,Solaris,Production,Germany,24
SDGER976,Solaris,Development,Germany,976
LPIRL835,Linux,Production,Ireland,835
LSESP417,Linux,Staging,Spain,417
HIESP348,HP-UX,Integration,Spain,348
LPIRL782,Linux,Production,Ireland,782
ATIRL461,AIX,Testing,Ireland,461
APGER819,AIX,Production,Germany,819
SSESP298,Solaris,Staging,Spain,298
LIESP608,Linux,Integration,Spain,608
LDGER348,Linux,Development,Germany,348
HIIRL491,HP-UX,Integration,Ireland,491
AIIRL148,AIX,Integration,Ireland,148
ATIRL915,AIX,Testing,Ireland,915
LTESP907,Linux,Testing,Spain,907
LSITA438,Linux,Staging,Italy,438
SPGER191,Solaris,Production,Germany,191
APNOR815,AIX,Production,Norway,815
LIITA381,Linux,Integration,Italy,381
LPESP326,Linux,Production,Spain,326
HDIRL821,HP-UX,Development,Ireland,821
APIRL086,AIX,Production,Ireland,86
SSIRL478,Solaris,Staging,Ireland,478
APGER319,AIX,Production,Germany,319
STFRA270,Solaris,Testing,France,270
LSGER813,Linux,Staging,Germany,813
SPFRA563,Solaris,Production,France,563
SDIRL075,Solaris,Development,Ireland,75
LPITA419,Linux,Production,Italy,419
HTESP363,HP-UX,Testing,Spain,363
